Year,Team,Conf,Seed,Wins,Won_ConfT,Round_32,Sweet_16,Elite_8,Final_4,Champ_Game,Won_Natty,AdjO,AdjD,AdjEM,BARTHAG,EFG%,EFG%D,FT%,FTR,FT_Off_Impact,FT_Off_Eff,FTRD,FT_Def_Impact,FT_Def_Eff,FT_Net_Impact,FT_Net_Eff,TOV%,TOV%D,TOV%_Diff,OREB%,DREB%,2PT%,2PTR,2pt_Off_Impact,2pt_Off_Eff,2PT%D,2PTRD,2pt_Def_Impact,2pt_Def_Eff,2pt_Net_Impact,2pt_Net_Eff,3PT%,3PTR,3pt_Off_Impact,3pt_Off_Eff,3PT%D,3PTRD,3pt_Def_Impact,3pt_Def_Eff,3pt_Net_Impact,3pt_Net_Eff,AST%,Height,Experience,Talent,AdjT,W,Elite_SOS,Norm_Elite_SOS,WAB
2025,Akron,MAC,13,0,0,0,0,0,0,0,0,113.749,107.176,6.57261,0.672,0.554,0.495,0.749,0.268,11.96,11.05,0.337,14.25,13.17,-2.29,-2.12,0.166,0.172,0.006,0.333,0.71,0.558,0.546,18.15,16.77,0.506,0.62,18.56,17.14,-0.40,-0.37,0.366,0.454,9.90,9.15,0.319,0.38,7.17,6.62,2.73,2.52,0.585,77.508,2.383,16.228,71.4456,26,9.759,0.114,-1.8
2025,Alabama,SEC,2,3,0,1,1,1,0,0,0,126.598,96.6919,29.9064,0.962,0.563,0.479,0.716,0.401,17.92,15.79,0.339,15.71,13.84,2.21,1.95,0.167,0.135,-0.032,0.347,0.708,0.597,0.538,20.05,17.66,0.488,0.649,20.53,18.08,-0.48,-0.42,0.350,0.462,10.09,8.89,0.308,0.351,7.01,6.17,3.09,2.72,0.541,82.581,1.819,58.572,74.9404,25,46.471,1.000,9.8
2025,Alabama St.,SWAC,16,0,0,0,0,0,0,0,0,101.454,110.689,-9.235,0.27,0.471,0.503,0.698,0.299,12.29,11.96,0.387,15.28,14.87,-2.99,-2.91,0.132,0.186,0.054,0.283,0.689,0.454,0.571,15.26,14.85,0.504,0.605,16.83,16.38,-1.57,-1.53,0.329,0.429,8.31,8.09,0.334,0.395,7.28,7.09,1.03,1.00,0.454,79.666,2.346,4.049,67.824,18,11.608,0.158,-10.2
2025,American,Pat,16,0,0,0,0,0,0,0,0,102.095,108.071,-5.9762,0.335,0.518,0.521,0.759,0.295,11.84,12.30,0.341,12.77,13.26,-0.93,-0.96,0.168,0.176,0.008,0.238,0.726,0.511,0.552,14.92,15.49,0.531,0.643,17.88,18.57,-2.97,-3.08,0.351,0.448,8.31,8.63,0.336,0.357,6.28,6.52,2.03,2.11,0.521,79.635,2.039,0.2,63.5548,20,8.755,0.090,-8.3
2025,Arizona,B12,4,2,0,1,1,0,0,0,0,122.567,96.8244,25.7423,0.947,0.529,0.486,0.784,0.366,16.82,15.87,0.292,12.18,11.49,4.64,4.38,0.162,0.166,0.004,0.359,0.715,0.551,0.654,21.12,19.93,0.472,0.581,15.99,15.09,5.12,4.84,0.324,0.346,6.57,6.20,0.336,0.419,8.21,7.75,-1.64,-1.55,0.567,80.498,1.92,66.268,69.9324,22,44.259,0.947,5.4
2025,Arkansas,SEC,10,2,0,1,1,0,0,0,0,112.943,95.2503,17.6925,0.862,0.527,0.483,0.734,0.355,15.10,14.36,0.294,12.04,11.45,3.06,2.91,0.165,0.175,0.01,0.276,0.717,0.544,0.633,19.96,18.98,0.485,0.605,16.80,15.98,3.16,3.00,0.333,0.367,7.08,6.74,0.319,0.395,7.22,6.86,-0.13,-0.13,0.532,81.87,1.364,74.808,69.4097,20,36.561,0.761,1.2
2025,Auburn,SEC,1,4,0,1,1,1,1,0,0,128.505,93.4663,35.0385,0.976,0.557,0.46,0.74,0.335,14.53,14.17,0.392,15.67,15.28,-1.14,-1.11,0.134,0.174,0.04,0.343,0.697,0.561,0.594,19.53,19.05,0.472,0.652,17.20,16.78,2.33,2.27,0.368,0.406,8.76,8.54,0.292,0.348,5.68,5.54,3.08,3.00,0.555,81.057,2.573,34.433,67.6684,28,45.564,0.978,12.5
2025,Baylor,B12,9,1,0,1,0,0,0,0,0,120.886,99.7268,21.1589,0.903,0.515,0.512,0.746,0.31,12.53,12.81,0.335,12.56,12.84,-0.03,-0.03,0.161,0.188,0.027,0.356,0.688,0.512,0.598,16.59,16.95,0.498,0.592,15.46,15.80,1.13,1.15,0.347,0.402,7.56,7.72,0.354,0.408,7.58,7.74,-0.02,-0.02,0.535,79.571,1.871,56.146,64.5974,18,42.981,0.916,2
2025,Bryant,AE,15,0,0,0,0,0,0,0,0,106.725,105.547,1.17756,0.511,0.51,0.477,0.718,0.304,13.22,12.03,0.3,13.01,11.84,0.21,0.19,0.165,0.164,-0.001,0.342,0.712,0.515,0.652,20.33,18.50,0.473,0.64,18.35,16.70,1.98,1.80,0.334,0.348,7.04,6.41,0.322,0.36,7.03,6.40,0.01,0.01,0.487,80.395,2.502,33.52,72.5242,21,9.31,0.103,-7.1
2025,BYU,B12,6,2,0,1,1,0,0,0,0,123.05,100.654,22.3965,0.938,0.572,0.506,0.705,0.302,11.81,11.58,0.295,11.75,11.53,0.05,0.05,0.176,0.172,-0.004,0.333,0.739,0.586,0.517,16.80,16.48,0.493,0.556,15.28,14.98,1.53,1.50,0.371,0.483,9.94,9.75,0.348,0.444,8.61,8.44,1.33,1.30,0.599,80.606,1.889,35.971,67.3028,24,35.191,0.728,4.8
2025,Clemson,ACC,5,0,0,0,0,0,0,0,0,118.69,94.7724,23.9175,0.927,0.536,0.489,0.766,0.282,11.71,12.02,0.276,10.14,10.41,1.57,1.61,0.157,0.201,0.044,0.337,0.701,0.523,0.616,17.47,17.92,0.493,0.617,15.63,16.04,1.84,1.88,0.372,0.384,7.75,7.95,0.322,0.383,6.34,6.50,1.41,1.44,0.523,81.701,2.503,51.614,64.3278,27,26.367,0.515,4.9
2025,Colorado St.,MWC,12,1,0,1,0,0,0,0,0,116.276,98.977,17.2994,0.876,0.558,0.485,0.775,0.318,13.44,13.44,0.336,13.21,13.21,0.23,0.23,0.174,0.167,-0.007,0.264,0.747,0.565,0.572,17.63,17.62,0.477,0.621,16.29,16.29,1.33,1.33,0.366,0.428,8.54,8.54,0.331,0.379,6.90,6.90,1.64,1.64,0.628,79.53,2.033,33.82,66.0287,25,22.886,0.431,0.9
2025,Connecticut,BE,8,1,0,1,0,0,0,0,0,121.965,102.633,19.3318,0.883,0.555,0.483,0.791,0.306,12.80,13.24,0.4,15.41,15.95,-2.62,-2.71,0.171,0.155,-0.016,0.356,0.726,0.573,0.574,17.39,18.00,0.46,0.658,16.31,16.88,1.08,1.12,0.354,0.426,7.97,8.25,0.351,0.342,6.47,6.69,1.50,1.56,0.64,80.841,1.638,87.492,63.7849,23,30.085,0.604,2.2
2025,Creighton,BE,9,1,0,1,0,0,0,0,0,116.968,98.2653,18.7025,0.885,0.558,0.47,0.733,0.285,11.48,11.29,0.169,7.16,7.04,4.32,4.25,0.181,0.117,-0.064,0.269,0.728,0.605,0.51,16.96,16.68,0.458,0.648,17.59,17.30,-0.63,-0.62,0.339,0.49,9.13,8.98,0.327,0.352,6.82,6.71,2.31,2.27,0.634,83.115,1.954,59.745,67.1073,24,31.577,0.640,3.1
2025,Drake,MVC,11,1,0,1,0,0,0,0,0,112.641,98.498,14.1426,0.823,0.538,0.517,0.707,0.43,14.57,16.33,0.358,11.74,13.16,2.83,3.17,0.186,0.221,0.035,0.36,0.742,0.546,0.632,16.54,18.54,0.543,0.609,15.17,17.00,1.37,1.54,0.350,0.368,6.17,6.92,0.318,0.391,5.70,6.39,0.47,0.53,0.542,79.116,2.226,0.2,58.8833,28,12.625,0.183,2.3
