,Year,Team,Proj_Wins_Agg,Wins_Rank_Agg
748,2013,Louisville,4.1647462992456195,1
749,2013,Michigan,1.3094782572405044,17
750,2013,Syracuse,1.6914958684708308,9
751,2013,Wichita St.,0.9957278005971961,30
752,2013,Ohio St.,2.243557775401424,3
753,2013,Florida,1.7505524102724053,8
754,2013,Duke,2.0905094908531914,5
755,2013,Marquette,0.7987875419702692,35
757,2013,Kansas,2.4727810463358617,2
758,2013,Miami FL,2.242476401748917,4
756,2013,Indiana,1.8720383933918223,6
760,2013,Michigan St.,1.6250937099767069,14
763,2013,Oregon,1.1922205871785674,20
759,2013,Arizona,1.6451386162346524,10
761,2013,La Salle,0.4492468513209862,49
762,2013,Florida Gulf Coast,0.13127910979760352,58
764,2013,Gonzaga,1.6305425094748194,13
765,2013,Butler,1.0246196407870676,29
768,2013,VCU,1.6384874397630265,12
766,2013,Illinois,1.0895330698494265,24
767,2013,North Carolina,1.2071149295603483,19
777,2013,San Diego St.,0.6540702382193192,40
769,2013,Saint Louis,1.1646665222301684,22
770,2013,Memphis,1.2877936905405056,18
771,2013,Colorado St.,0.9080060440095471,32
772,2013,Iowa St.,0.7012731279367339,38
773,2013,Mississippi,1.0592798672413402,27
774,2013,Harvard,0.0741525222707545,62
775,2013,Temple,0.5490674549494854,44
776,2013,California,0.4633046850430615,48
778,2013,Minnesota,0.7195561784427229,37
779,2013,Creighton,0.8957953308130716,33
780,2013,Wisconsin,1.6430684387792809,11
785,2013,New Mexico,1.765098167064365,7
781,2013,Georgetown,1.3397513931415985,16
783,2013,Notre Dame,1.0654037960146394,25
784,2013,Pittsburgh,1.1712764381135563,21
786,2013,Kansas St.,1.6095202883650626,15
787,2013,North Carolina St.,0.63118731604382,41
788,2013,UNLV,1.160013649239009,23
790,2013,UCLA,1.0346140964513464,28
791,2013,Cincinnati,1.0631663380158276,26
792,2013,Southern,0.06482518127194753,64
793,2013,Iona,0.17975895822873905,55
794,2013,Boise St.,0.4384425453180544,50
795,2013,Belmont,0.3237813496179427,51
796,2013,Pacific,0.14051255260213594,57
797,2013,Montana,0.0943762353120179,61
798,2013,LIU Brooklyn,0.044276430229555075,66
799,2013,James Madison,0.06585149613671551,63
800,2013,Davidson,0.2853681429613868,52
801,2013,Colorado,0.5964899304268775,43
802,2013,Bucknell,0.5373208744164366,45
789,2013,Oklahoma,0.5335848409714619,46
803,2013,Akron,0.47019664972949504,47
804,2013,Northwestern St.,0.10330556025677082,60
805,2013,Western Kentucky,0.06454436306802677,65
806,2013,South Dakota St.,0.17438358248597396,56
807,2013,Villanova,0.6256591850074408,42
782,2013,Oklahoma St.,0.9942547015992611,31
808,2013,North Carolina A&T,0.037045292312577555,67
809,2013,Saint Mary's,0.7881530087348149,36
810,2013,Valparaiso,0.24365913316544352,54
811,2013,New Mexico St.,0.27282246454718273,53
812,2013,Missouri,0.8684999865921439,34
813,2013,Middle Tennessee,0.6911543697977217,39
814,2013,Liberty,0.01764707457858255,68
815,2013,Albany,0.11859275823483156,59
680,2014,Connecticut,0.9700268404971633,27
681,2014,Kentucky,1.3575236643696944,19
682,2014,Florida,3.5248273381797315,1
683,2014,Wisconsin,1.3406134646856873,20
684,2014,Arizona,2.3702180545502585,4
685,2014,Michigan St.,2.1058137635913874,6
686,2014,Michigan,1.555931648061226,12
687,2014,Dayton,0.4470406418188869,47
688,2014,Virginia,2.6172725835165616,3
690,2014,San Diego St.,1.4470854149867818,15
693,2014,UCLA,2.3515490589700403,5
689,2014,Louisville,2.0282729349830912,9
691,2014,Baylor,0.9672608915869546,28
692,2014,Iowa St.,1.43620796251544,16
694,2014,Stanford,0.5578050250980815,40
695,2014,Tennessee,0.7796885661793611,31
700,2014,Creighton,1.4844951829930282,14
696,2014,Villanova,1.6816935126408756,10
697,2014,Syracuse,3.313146301489904,2
706,2014,Wichita St.,2.052329586467721,8
703,2014,North Carolina,1.5125190647121638,13
698,2014,Kansas,1.4008345661110997,17
699,2014,Oregon,0.8343195506683143,30
701,2014,Gonzaga,0.7773764127716352,33
704,2014,Pittsburgh,1.308870350349208,21
705,2014,Texas,1.2007542806842388,24
707,2014,North Dakota St.,0.23094706419359562,53
702,2014,Memphis,0.7030230889174542,35
708,2014,Harvard,0.4563257398622109,46
709,2014,Stephen F. Austin,0.4312906764786071,48
710,2014,Saint Louis,0.5479973573086165,42
711,2014,Mercer,0.21369741229903663,55
712,2014,Duke,2.06431589393161,7
713,2014,Oklahoma,1.2175628631872801,22
