,Year,Team,Wins,Wins_Rank,Proj_Wins,Proj_Wins_Rank,Proj_Wins_Binned,Region,Seed
9,2025,Florida,6,1,2.7929681937061255,3,4,West,1
83,2025,Texas Tech,3,5,1.3405497688887802,9,2,West,3
168,2025,Arkansas,2,9,0.7755657073368916,33,0,West,10
180,2025,Maryland,2,9,1.499571494387634,5,3,West,4
269,2025,Drake,1,17,0.4594972172426469,33,0,West,11
271,2025,Connecticut,1,17,0.8962000244837922,33,0,West,8
272,2025,Colorado St.,1,17,0.521814646716726,33,0,West,12
327,2025,St. John's,1,17,1.8112814713735947,5,3,West,2
445,2025,Grand Canyon,0,33,0.3163501760533555,33,0,West,13
447,2025,Kansas,0,33,1.1292415851762625,17,1,West,7
454,2025,UNC Wilmington,0,33,0.25457637632435354,33,0,West,14
462,2025,Oklahoma,0,33,0.6423335509319126,33,0,West,9
464,2025,Norfolk St.,0,33,0.15401094835621915,33,0,West,16
465,2025,Nebraska Omaha,0,33,0.16788533146449394,33,0,West,15
468,2025,Missouri,0,33,1.2816573364431587,9,2,West,6
470,2025,Memphis,0,33,0.6891972015823141,33,0,West,5
31,2025,Auburn,4,3,2.3889359070124794,3,4,South,1
90,2025,Michigan St.,3,5,1.362321683158527,9,2,South,2
175,2025,Mississippi,2,9,0.9421086099490885,17,1,South,6
176,2025,Michigan,2,9,1.2451150449549877,9,2,South,5
270,2025,Creighton,1,17,0.7743123833889842,33,0,South,9
297,2025,Texas A&M,1,17,1.2526079707336304,9,2,South,4
307,2025,New Mexico,1,17,0.7360566283443221,33,0,South,10
321,2025,Iowa St.,1,17,1.3236584662466315,9,2,South,3
421,2025,Bryant,0,33,0.21668577978632422,33,0,South,15
423,2025,Alabama St.,0,33,0.09648573109003253,33,0,South,16
455,2025,UC San Diego,0,33,0.6922294240624496,33,0,South,12
459,2025,San Diego St.,0,33,0.6219270970912856,33,0,South,11
460,2025,Saint Francis,0,33,0.06144941603721159,33,0,South,16
463,2025,North Carolina,0,33,0.8950599915064229,33,0,South,11
471,2025,Marquette,0,33,1.1847205717547815,17,1,South,7
472,2025,Louisville,0,33,0.982278118117411,17,1,South,8
473,2025,Lipscomb,0,33,0.29808575092821593,33,0,South,14
815,2025,Yale,0,33,0.40609053769713555,33,0,South,13
12,2025,Houston,5,2,3.750172754826519,2,5,Midwest,1
89,2025,Tennessee,3,5,1.8535657389084903,5,3,Midwest,2
122,2025,Kentucky,2,9,1.1184153457744048,17,1,Midwest,3
154,2025,Purdue,2,9,1.1788667444467487,17,1,Midwest,4
290,2025,UCLA,1,17,1.147099921605604,17,1,Midwest,7
299,2025,Gonzaga,1,17,1.3302086635957988,9,2,Midwest,8
316,2025,McNeese St.,1,17,0.5428292852037693,33,0,Midwest,12
322,2025,Illinois,1,17,1.184244466710353,17,1,Midwest,6
419,2025,Georgia,0,33,0.9220192840296639,17,1,Midwest,9
420,2025,Clemson,0,33,1.2234430232910143,17,1,Midwest,5
