Year,Team,Conf,Seed,Wins,Won_ConfT,Round_32,Sweet_16,Elite_8,Final_4,Champ_Game,Won_Natty,AdjO,AdjD,AdjEM,BARTHAG,EFG%,EFG%D,FT%,FTR,FTRD,TOV%,TOV%D,TOV%_Diff,OREB%,DREB%,2PT%,2PTR,2PT%D,2PTRD,3PT%,3PTR,3PT%D,3PTRD,AST%,Height,Experience,Talent,AdjT,W,Elite_SOS,WAB
2025,Akron,MAC,13,0,0,0,0,0,0,0,0,113.749,107.176,6.57261,0.672,0.554,0.495,0.749,0.268,0.337,0.166,0.172,0.006,0.333,0.71,0.558,0.546,0.506,0.62,0.366,0.454,0.319,0.38,0.585,77.508,2.383,16.228,71.4456,26,9.759,-1.8
2025,Alabama,SEC,2,3,0,1,1,1,0,0,0,126.598,96.6919,29.9064,0.962,0.563,0.479,0.716,0.401,0.339,0.167,0.135,-0.032,0.347,0.708,0.597,0.538,0.488,0.649,0.350,0.462,0.308,0.351,0.541,82.581,1.819,58.572,74.9404,25,46.471,9.8
2025,Alabama St.,SWAC,16,0,0,0,0,0,0,0,0,101.454,110.689,-9.235,0.27,0.471,0.503,0.698,0.299,0.387,0.132,0.186,0.054,0.283,0.689,0.454,0.571,0.504,0.605,0.329,0.429,0.334,0.395,0.454,79.666,2.346,4.049,67.824,18,11.608,-10.2
2025,American,Pat,16,0,0,0,0,0,0,0,0,102.095,108.071,-5.9762,0.335,0.518,0.521,0.759,0.295,0.341,0.168,0.176,0.008,0.238,0.726,0.511,0.552,0.531,0.643,0.351,0.448,0.336,0.357,0.521,79.635,2.039,0.2,63.5548,20,8.755,-8.3
2025,Arizona,B12,4,2,0,1,1,0,0,0,0,122.567,96.8244,25.7423,0.947,0.529,0.486,0.784,0.366,0.292,0.162,0.166,0.004,0.359,0.715,0.551,0.654,0.472,0.581,0.324,0.346,0.336,0.419,0.567,80.498,1.92,66.268,69.9324,22,44.259,5.4
2025,Arkansas,SEC,10,2,0,1,1,0,0,0,0,112.943,95.2503,17.6925,0.862,0.527,0.483,0.734,0.355,0.294,0.165,0.175,0.01,0.276,0.717,0.544,0.633,0.485,0.605,0.333,0.367,0.319,0.395,0.532,81.87,1.364,74.808,69.4097,20,36.561,1.2
2025,Auburn,SEC,1,4,0,1,1,1,1,0,0,128.505,93.4663,35.0385,0.976,0.557,0.46,0.74,0.335,0.392,0.134,0.174,0.04,0.343,0.697,0.561,0.594,0.472,0.652,0.368,0.406,0.292,0.348,0.555,81.057,2.573,34.433,67.6684,28,45.564,12.5
2025,Baylor,B12,9,1,0,1,0,0,0,0,0,120.886,99.7268,21.1589,0.903,0.515,0.512,0.746,0.31,0.335,0.161,0.188,0.027,0.356,0.688,0.512,0.598,0.498,0.592,0.347,0.402,0.354,0.408,0.535,79.571,1.871,56.146,64.5974,18,42.981,2
2025,Bryant,AE,15,0,0,0,0,0,0,0,0,106.725,105.547,1.17756,0.511,0.51,0.477,0.718,0.304,0.3,0.165,0.164,-0.001,0.342,0.712,0.515,0.652,0.473,0.64,0.334,0.348,0.322,0.36,0.487,80.395,2.502,33.52,72.5242,21,9.31,-7.1
2025,BYU,B12,6,2,0,1,1,0,0,0,0,123.05,100.654,22.3965,0.938,0.572,0.506,0.705,0.302,0.295,0.176,0.172,-0.004,0.333,0.739,0.586,0.517,0.493,0.556,0.371,0.483,0.348,0.444,0.599,80.606,1.889,35.971,67.3028,24,35.191,4.8
