Year,Team,Seed,Region
2025,Auburn,1,South
2025,Alabama St.,16,South
2025,Saint Francis,16,South
2025,Louisville,8,South
2025,Creighton,9,South
2025,Michigan,5,South
2025,UC San Diego,12,South
2025,Texas A&M,4,South
2025,Yale,13,South
2025,Mississippi,6,South
2025,San Diego St.,11,South
2025,North Carolina,11,South
2025,Iowa St.,3,South
2025,Lipscomb,14,South
2025,Marquette,7,South
2025,New Mexico,10,South
2025,Michigan St.,2,South
2025,Bryant,15,South
2025,Florida,1,West
2025,Norfolk St.,16,West
2025,Connecticut,8,West
2025,Oklahoma,9,West
2025,Memphis,5,West
2025,Colorado St.,12,West
2025,Maryland,4,West
2025,Grand Canyon,13,West
2025,Missouri,6,West
2025,Drake,11,West
2025,Texas Tech,3,West
2025,UNC Wilmington,14,West
2025,Kansas,7,West
2025,Arkansas,10,West
2025,St. John's,2,West
2025,Nebraska Omaha,15,West
2025,Duke,1,East
2025,American,16,East
2025,Mount St. Mary's,16,East
2025,Mississippi St.,8,East
2025,Baylor,9,East
2025,Oregon,5,East
2025,Liberty,12,East
2025,Arizona,4,East
2025,Akron,13,East
2025,BYU,6,East
2025,VCU,11,East
2025,Wisconsin,3,East
2025,Montana,14,East
2025,Saint Mary's,7,East
2025,Vanderbilt,10,East
2025,Alabama,2,East
2025,Robert Morris,15,East
2025,Houston,1,Midwest
2025,SIU Edwardsville,16,Midwest
2025,Gonzaga,8,Midwest
2025,Georgia,9,Midwest
2025,Clemson,5,Midwest
2025,McNeese St.,12,Midwest
2025,Purdue,4,Midwest
2025,High Point,13,Midwest
2025,Illinois,6,Midwest
2025,Texas,11,Midwest
2025,Xavier,11,Midwest
2025,Kentucky,3,Midwest
2025,Troy,14,Midwest
2025,UCLA,7,Midwest
2025,Utah St.,10,Midwest
2025,Tennessee,2,Midwest
2025,Wofford,15,Midwest
2024,Purdue,1,Midwest
2024,Montana St.,16,Midwest
2024,Grambling St.,16,Midwest
2024,Utah St.,8,Midwest
2024,TCU,9,Midwest
2024,Gonzaga,5,Midwest
2024,McNeese St.,12,Midwest
2024,Kansas,4,Midwest
2024,Samford,13,Midwest
2024,South Carolina,6,Midwest
2024,Oregon,11,Midwest
2024,Creighton,3,Midwest
2024,Akron,14,Midwest
2024,Texas,7,Midwest
2024,Virginia,10,Midwest
2024,Colorado St.,10,Midwest
2024,Tennessee,2,Midwest
2024,Saint Peter's,15,Midwest
2024,North Carolina,1,West
2024,Howard,16,West
2024,Wagner,16,West
2024,Mississippi St.,8,West
2024,Michigan St.,9,West
2024,Saint Mary's,5,West
2024,Grand Canyon,12,West
2024,Alabama,4,West
2024,College of Charleston,13,West
2024,Clemson,6,West
2024,New Mexico,11,West
2024,Baylor,3,West
2024,Colgate,14,West
2024,Dayton,7,West
2024,Nevada,10,West
2024,Arizona,2,West
2024,Long Beach St.,15,West
2024,Connecticut,1,East
2024,Stetson,16,East
