,Year,Team,Proj_Wins_Risky
9,2025,Florida,2.67122090775202
12,2025,Houston,4.6337992565312724
31,2025,Auburn,2.8623706726407714
26,2025,Duke,3.8260852488268595
77,2025,Alabama,1.679605602189096
90,2025,Michigan St.,2.3362717173544776
89,2025,Tennessee,2.3559354202576017
83,2025,Texas Tech,1.4505611938282434
180,2025,Maryland,1.5182482788593954
167,2025,Arizona,1.3982569731796175
122,2025,Kentucky,1.5585717007669464
171,2025,BYU,1.0362864248241868
175,2025,Mississippi,1.162367299118378
176,2025,Michigan,0.9227363017476118
154,2025,Purdue,1.4048162420294255
168,2025,Arkansas,0.6217869544720934
327,2025,St. John's,2.188827104830649
355,2025,Wisconsin,1.2795254757907926
297,2025,Texas A&M,1.542955464837367
321,2025,Iowa St.,1.2440963858160359
271,2025,Connecticut,0.7839840234759241
302,2025,Saint Mary's,1.1884508469111805
303,2025,Oregon,1.0174363262148518
290,2025,UCLA,1.1422558937268483
299,2025,Gonzaga,1.6692988647637383
322,2025,Illinois,0.9118355978165098
269,2025,Drake,0.5449906941208649
272,2025,Colorado St.,0.5143366517775049
277,2025,Baylor,0.7618003962741373
270,2025,Creighton,0.5783921804097996
307,2025,New Mexico,0.7006141327303752
316,2025,McNeese St.,0.3217919311828766
420,2025,Clemson,1.5636771396171132
447,2025,Kansas,1.1505606076166037
468,2025,Missouri,0.9716994975820393
470,2025,Memphis,0.5981078456747826
469,2025,Mississippi St.,0.8719327119619321
471,2025,Marquette,1.14864407449299
472,2025,Louisville,1.0531884324740237
445,2025,Grand Canyon,0.17678807767059537
454,2025,UNC Wilmington,0.14148085404550212
462,2025,Oklahoma,0.6652672836467385
464,2025,Norfolk St.,0.048564927343751306
465,2025,Nebraska Omaha,0.10194078040081751
422,2025,American,0.03126466053910632
424,2025,Akron,0.21029989681694042
448,2025,Liberty,0.2313774240877694
451,2025,VCU,0.5741640806102385
452,2025,Vanderbilt,0.5957525678416075
461,2025,Robert Morris,0.0631777520438755
466,2025,Mount St. Mary's,0.02136576914897762
467,2025,Montana,0.07884101750390039
421,2025,Bryant,0.07833800380031274
423,2025,Alabama St.,0.019553018993705498
455,2025,UC San Diego,0.5202439750139348
459,2025,San Diego St.,0.36524897882751167
460,2025,Saint Francis,0.010452307088413252
463,2025,North Carolina,0.890868039756837
473,2025,Lipscomb,0.1797453660296663
815,2025,Yale,0.22709227378858138
419,2025,Georgia,0.6714284265777518
446,2025,High Point,0.2425469852698739
449,2025,Xavier,0.5067362879361568
450,2025,Wofford,0.06081189673380196
453,2025,Utah St.,0.47066653783442514
456,2025,Troy,0.0774888237348037
457,2025,Texas,0.5247328492159593
458,2025,SIU Edwardsville,0.026438663221522975
7,2024,Connecticut,3.434284108653059
19,2024,Purdue,2.8041580918705926
46,2024,Alabama,1.3981678309255017
45,2024,North Carolina St.,0.6376922082873695
66,2024,Illinois,2.30550896920879
71,2024,Duke,1.9429383836667726
70,2024,Tennessee,1.4015189435663173
48,2024,Clemson,0.9507180972205654
121,2024,Houston,3.3666467922326655
113,2024,North Carolina,2.4338443864923818
131,2024,Arizona,2.1430659953951
105,2024,Marquette,1.9489024447425025
149,2024,Creighton,1.9642932463998553
99,2024,Iowa St.,1.5736681422862215
123,2024,Gonzaga,1.4545753797614305
116,2024,San Diego St.,0.9298958919737876
351,2024,Baylor,1.7258668968205397
338,2024,Dayton,0.8232650974420852
374,2024,Northwestern,0.8834900607101135
329,2024,Texas A&M,0.828477424892479
330,2024,Colorado,0.9837228091524286
331,2024,Kansas,0.8628685268313229
361,2024,Texas,0.9577946213491749
333,2024,Grand Canyon,0.4420155877091938
378,2024,Michigan St.,0.7444106670029037
287,2024,Yale,0.29764942381321935
291,2024,Washington St.,0.8040723632930037
336,2024,Duquesne,0.29724437847393775
332,2024,James Madison,0.5826031621902217
360,2024,Oakland,0.20474376634282318
294,2024,Utah St.,0.747427121948884
372,2024,Oregon,0.8374583518645982
518,2024,Auburn,1.32319963867178
491,2024,Kentucky,1.4674384634610738
438,2024,Saint Mary's,1.081618184471032
439,2024,New Mexico,1.20456675720952
444,2024,Mississippi St.,0.8477832985079554
512,2024,Drake,0.8301693911574146
516,2024,BYU,1.0921228454402319
418,2024,Texas Tech,1.1636568996575007
425,2024,Wisconsin,1.5779741206379925
431,2024,TCU,1.01520567630813
435,2024,South Carolina,0.9717471827195455
427,2024,Wagner,0.019499765877964197
440,2024,Nevada,0.6134032850612727
475,2024,Long Beach St.,0.057992832365051275
508,2024,Howard,0.03077936888210152
514,2024,College of Charleston,0.41550841217026474
515,2024,Colgate,0.10796891215437678
430,2024,UAB,0.23806880106849201
433,2024,Stetson,0.07348834418488444
434,2024,South Dakota St.,0.10620698042131138
442,2024,Morehead St.,0.1674300805533405
510,2024,Florida Atlantic,0.778726337469689
426,2024,Western Kentucky,0.14358826858169124
429,2024,Vermont,0.23336365614504287
432,2024,Longwood,0.08421616590032557
441,2024,Nebraska,0.7418854487361076
511,2024,Florida,0.9635747471861571
517,2024,Boise St.,0.8343144267320767
428,2024,Virginia,0.4261915146169808
436,2024,Samford,0.43513036686338963
437,2024,Saint Peter's,0.037524557660915836
443,2024,Montana St.,0.05163245967716187
474,2024,McNeese St.,0.33484320229133646
509,2024,Grambling St.,0.028295051261253295
513,2024,Colorado St.,0.6032443863118423
519,2024,Akron,0.18465099706494784
8,2023,Connecticut,1.709136791470105
16,2023,San Diego St.,1.6858970705826175
34,2023,Miami FL,0.9380315418328367
24,2023,Florida Atlantic,1.0561415343114804
62,2023,Texas,2.3657121694673164
55,2023,Gonzaga,2.1788716824717556
73,2023,Kansas St.,0.9476366131266521
88,2023,Creighton,1.1187312111997612
129,2023,UCLA,4.170494520726591
119,2023,Alabama,2.7823725277505456
172,2023,Houston,3.8957076439270346
160,2023,Arkansas,0.8944593328626101
153,2023,Tennessee,1.613794058927777
158,2023,Michigan St.,0.758037681000703
135,2023,Xavier,0.9848821083275268
107,2023,Princeton,0.12108782037589216
241,2023,Kansas,2.378657069587
201,2023,Marquette,1.9751100660235237
226,2023,Duke,1.6551319161893712
233,2023,Baylor,1.386788941360688
231,2023,Saint Mary's,1.3150984385774587
232,2023,Northwestern,0.7452234362268356
260,2023,TCU,1.0736311080092862
255,2023,Kentucky,0.7336456950482005
219,2023,Missouri,0.7102148123183004
235,2023,Auburn,0.7541171633541138
259,2023,Indiana,0.8607755533968864
218,2023,Fairleigh Dickinson,0.015009578063255358
193,2023,Furman,0.17740293315281755
198,2023,Maryland,0.8161881503637114
238,2023,Penn St.,0.6407093878485982
245,2023,Pittsburgh,0.37067299618656907
531,2023,Purdue,2.4490897556667
495,2023,Arizona,1.6143872608826455
484,2023,Iowa St.,1.0859445917198298
480,2023,Memphis,1.318348207979958
520,2023,West Virginia,0.8301486645686076
521,2023,Virginia,0.7769086873409474
529,2023,Texas A&M,1.008083910946973
486,2023,Iona,0.41629747331935824
487,2023,Illinois,0.751727005080125
488,2023,Howard,0.04046767421536072
489,2023,Grand Canyon,0.1454081781393412
493,2023,Boise St.,0.7421694201222907
494,2023,Arizona St.,0.5362658600613034
504,2023,Nevada,0.35621797983046316
523,2023,VCU,0.5621709984701946
