,Year,Team,Seed,Region,Proj_Wins_Safe,Wins
9,2025,Florida,1,West,2.9338596675949344,6
12,2025,Houston,1,Midwest,3.722804127560771,5
26,2025,Duke,1,East,3.54444169305478,4
31,2025,Auburn,1,South,2.837581889408946,4
77,2025,Alabama,2,East,1.9921744499945817,3
90,2025,Michigan St.,2,South,1.7912771514398247,3
89,2025,Tennessee,2,Midwest,2.19841214098492,3
83,2025,Texas Tech,3,West,1.2994210884111497,3
180,2025,Maryland,4,West,1.3226567026342302,2
167,2025,Arizona,4,East,1.365783358655654,2
122,2025,Kentucky,3,Midwest,1.1662933425601423,2
171,2025,BYU,6,East,0.8980030297946122,2
175,2025,Mississippi,6,South,1.0248676658861,2
176,2025,Michigan,5,South,1.2480352399544339,2
154,2025,Purdue,4,Midwest,1.1686988134981238,2
168,2025,Arkansas,10,West,0.7043721623137097,2
327,2025,St. John's,2,West,1.988618838694188,1
355,2025,Wisconsin,3,East,1.1441665286844716,1
297,2025,Texas A&M,4,South,1.2923524864046279,1
321,2025,Iowa St.,3,South,1.130017800813312,1
271,2025,Connecticut,8,West,0.8887473306232321,1
302,2025,Saint Mary's,7,East,1.2279899170971322,1
303,2025,Oregon,5,East,1.072036395558581,1
290,2025,UCLA,7,Midwest,0.999842231141461,1
299,2025,Gonzaga,8,Midwest,1.287413362559142,1
322,2025,Illinois,6,Midwest,1.1323014599169483,1
269,2025,Drake,11,West,0.4762852507166707,1
272,2025,Colorado St.,12,West,0.5082981291291963,1
277,2025,Baylor,9,East,0.8131390837571277,1
270,2025,Creighton,9,South,0.7907958862837058,1
307,2025,New Mexico,10,South,0.7271763450003729,1
316,2025,McNeese St.,12,Midwest,0.4688960648574873,1
420,2025,Clemson,5,Midwest,1.2211029010677599,0
447,2025,Kansas,7,West,1.1003978417725302,0
468,2025,Missouri,6,West,1.12532638084901,0
470,2025,Memphis,5,West,0.8589548815583697,0
469,2025,Mississippi St.,8,East,0.8798785540956449,0
471,2025,Marquette,7,South,1.0433320813194271,0
472,2025,Louisville,8,South,0.9534229566024094,0
445,2025,Grand Canyon,13,West,0.3166771567556178,0
454,2025,UNC Wilmington,14,West,0.2864210506888411,0
462,2025,Oklahoma,9,West,0.6468275183133484,0
464,2025,Norfolk St.,16,West,0.17650948823514656,0
465,2025,Nebraska Omaha,15,West,0.1685129193455882,0
422,2025,American,16,East,0.10673086285770617,0
424,2025,Akron,13,East,0.3239092608564367,0
448,2025,Liberty,12,East,0.34316770464152513,0
451,2025,VCU,11,East,0.7317052059578999,0
452,2025,Vanderbilt,10,East,0.5831682972857302,0
461,2025,Robert Morris,15,East,0.2179837401998502,0
466,2025,Mount St. Mary's,16,East,0.11017595002323731,0
467,2025,Montana,14,East,0.183447490181231,0
421,2025,Bryant,15,South,0.22438513138135419,0
423,2025,Alabama St.,16,South,0.11074415032151792,0
455,2025,UC San Diego,12,South,0.5611009952964306,0
459,2025,San Diego St.,11,South,0.5080957990399624,0
460,2025,Saint Francis,16,South,0.055765945395710656,0
463,2025,North Carolina,11,South,0.8897742268213493,0
473,2025,Lipscomb,14,South,0.2746604179580175,0
815,2025,Yale,13,South,0.33011343004287386,0
419,2025,Georgia,9,Midwest,0.7944759438367525,0
446,2025,High Point,13,Midwest,0.39306245937696704,0
449,2025,Xavier,11,Midwest,0.5431428460372713,0
450,2025,Wofford,15,Midwest,0.1514478352972954,0
453,2025,Utah St.,10,Midwest,0.5916670107410009,0
456,2025,Troy,14,Midwest,0.22863911967368858,0
457,2025,Texas,11,Midwest,0.6626826576643101,0
458,2025,SIU Edwardsville,16,Midwest,0.135830153523594,0
7,2024,Connecticut,1,East,3.816280394917898,6
19,2024,Purdue,1,Midwest,3.078132200425179,5
46,2024,Alabama,4,West,1.0680603921654084,4
45,2024,North Carolina St.,11,South,0.7630021619286271,4
66,2024,Illinois,3,East,1.9757663200560263,3
70,2024,Tennessee,2,Midwest,1.6545076304517652,3
71,2024,Duke,4,South,1.5919069041532241,3
48,2024,Clemson,6,West,0.816003484044155,3
121,2024,Houston,1,South,3.5706093850133,2
113,2024,North Carolina,1,West,2.212452374516886,2
131,2024,Arizona,2,West,1.8772146713809628,2
105,2024,Marquette,2,South,1.5382240883039329,2
99,2024,Iowa St.,2,East,1.8917532729563813,2
123,2024,Gonzaga,5,Midwest,1.2735157471568825,2
149,2024,Creighton,3,Midwest,1.2745946036350178,2
116,2024,San Diego St.,5,East,0.9771936773312658,2
351,2024,Baylor,3,West,1.3675643803555046,1
338,2024,Dayton,7,West,0.7922767683133909,1
378,2024,Michigan St.,9,West,0.9398012645096502,1
291,2024,Washington St.,7,East,0.7760530728725614,1
329,2024,Texas A&M,9,South,1.0227703056836113,1
331,2024,Kansas,4,Midwest,1.037084850038457,1
361,2024,Texas,7,Midwest,0.8072183730109123,1
333,2024,Grand Canyon,12,West,0.6069297325227573,1
287,2024,Yale,13,East,0.3561551200707258,1
336,2024,Duquesne,11,East,0.3647863695779746,1
374,2024,Northwestern,9,East,0.7117886508161297,1
330,2024,Colorado,10,South,0.8469372527388642,1
332,2024,James Madison,12,South,0.657636674173607,1
360,2024,Oakland,14,South,0.29569544940453374,1
294,2024,Utah St.,8,Midwest,0.7413223938524203,1
372,2024,Oregon,11,Midwest,0.8052817776027433,1
518,2024,Auburn,4,East,1.8421317818903653,0
491,2024,Kentucky,3,South,1.1494357413085128,0
438,2024,Saint Mary's,5,West,0.9626607771022229,0
439,2024,New Mexico,11,West,1.0897288995446248,0
510,2024,Florida Atlantic,8,East,0.7508756598288655,0
516,2024,BYU,6,East,0.9626019250601024,0
418,2024,Texas Tech,6,South,1.0212545567301294,0
425,2024,Wisconsin,5,South,1.124769321786258,0
511,2024,Florida,7,South,1.0370277929764413,0
431,2024,TCU,9,Midwest,0.9002077550148763,0
435,2024,South Carolina,6,Midwest,1.0461208709312348,0
427,2024,Wagner,16,West,0.09106895629682107,0
440,2024,Nevada,10,West,0.7844341371618434,0
444,2024,Mississippi St.,8,West,0.8185818969167318,0
475,2024,Long Beach St.,15,West,0.1916684474165626,0
508,2024,Howard,16,West,0.1011327054571502,0
514,2024,College of Charleston,13,West,0.4377461561467341,0
515,2024,Colgate,14,West,0.2543201391353872,0
430,2024,UAB,12,East,0.39035136689060507,0
433,2024,Stetson,16,East,0.1859991320866252,0
434,2024,South Dakota St.,15,East,0.17594425082422635,0
442,2024,Morehead St.,14,East,0.29871128923202306,0
512,2024,Drake,10,East,0.6117150692632013,0
426,2024,Western Kentucky,15,South,0.21626971093769728,0
429,2024,Vermont,13,South,0.3612165430674965,0
432,2024,Longwood,16,South,0.1913015491959574,0
441,2024,Nebraska,8,South,0.799281521211545,0
517,2024,Boise St.,10,South,0.6295624789812015,0
428,2024,Virginia,10,Midwest,0.7919132966875013,0
436,2024,Samford,13,Midwest,0.43665868539609826,0
437,2024,Saint Peter's,15,Midwest,0.13919245831350163,0
443,2024,Montana St.,16,Midwest,0.08840514945178887,0
474,2024,McNeese St.,12,Midwest,0.5856179142254984,0
509,2024,Grambling St.,16,Midwest,0.12119600529447068,0
513,2024,Colorado St.,10,Midwest,0.621168733390912,0
519,2024,Akron,14,Midwest,0.2812075808640312,0
8,2023,Connecticut,4,West,1.5687458859347376,6
16,2023,San Diego St.,5,South,1.1804183434843185,5
34,2023,Miami FL,5,Midwest,0.9234972218192298,4
24,2023,Florida Atlantic,9,East,0.8945298671756144,4
62,2023,Texas,2,Midwest,2.008367684591012,3
55,2023,Gonzaga,3,West,1.9932940524579406,3
73,2023,Kansas St.,3,East,0.9329916878111807,3
88,2023,Creighton,6,South,0.9916832644963857,3
129,2023,UCLA,2,West,2.768359075331008,2
119,2023,Alabama,1,South,2.824351850654656,2
172,2023,Houston,1,Midwest,2.625600733354176,2
135,2023,Xavier,3,Midwest,1.305203190671012,2
153,2023,Tennessee,4,East,1.3266587337570945,2
158,2023,Michigan St.,7,East,0.9200309487577439,2
160,2023,Arkansas,8,West,0.7899207046568503,2
107,2023,Princeton,15,South,0.23691488211361272,2
241,2023,Kansas,1,West,2.093801741806178,1
201,2023,Marquette,2,East,1.8404780212810696,1
226,2023,Duke,5,East,1.6576126100750497,1
255,2023,Kentucky,6,East,1.0310190376880242,1
233,2023,Baylor,3,South,1.2905751486734516,1
259,2023,Indiana,4,Midwest,1.1013810118869136,1
231,2023,Saint Mary's,5,West,1.0531151032995405,1
232,2023,Northwestern,7,West,0.7795533919433022,1
260,2023,TCU,6,West,1.013513175969533,1
198,2023,Maryland,8,South,0.824610436774263,1
218,2023,Fairleigh Dickinson,16,East,0.08144314088969168,1
193,2023,Furman,13,South,0.34721067170167047,1
219,2023,Missouri,7,South,0.715506643319675,1
235,2023,Auburn,9,Midwest,0.7734845732557131,1
238,2023,Penn St.,10,Midwest,0.6264892445128681,1
245,2023,Pittsburgh,11,Midwest,0.5435607712406636,1
531,2023,Purdue,1,East,2.967210184291139,0
495,2023,Arizona,2,South,2.104350614942486,0
