,Year,Team,Proj_Wins_Safer,Wins_Rank_Safer
748,2013,Louisville,3.7194434327771084,1
749,2013,Michigan,1.4426560507910913,15
750,2013,Syracuse,1.7815320161968047,8
751,2013,Wichita St.,0.9187088087592259,34
752,2013,Ohio St.,2.1976524045260075,4
753,2013,Florida,1.6785621413919198,9
754,2013,Duke,2.005617474394029,6
755,2013,Marquette,0.9329387303930481,32
757,2013,Kansas,2.369024388211464,2
756,2013,Indiana,2.2389992868316413,3
758,2013,Miami FL,2.024338502443912,5
760,2013,Michigan St.,1.6006194000990523,10
763,2013,Oregon,1.0572705214447866,24
759,2013,Arizona,1.4801451133156704,14
761,2013,La Salle,0.43754735380489806,49
762,2013,Florida Gulf Coast,0.20191503146781106,57
764,2013,Gonzaga,1.9160030946832043,7
765,2013,Butler,1.0390002658041766,25
766,2013,Illinois,1.0136959811568318,26
767,2013,North Carolina,1.1221981930925773,22
768,2013,VCU,1.300966503297876,17
777,2013,San Diego St.,0.6035390479496368,42
769,2013,Saint Louis,0.985313275657626,29
770,2013,Memphis,1.1710069107864376,19
771,2013,Colorado St.,0.9563362437486161,31
772,2013,Iowa St.,0.6993220514945014,39
773,2013,Mississippi,1.136594912629832,20
774,2013,Harvard,0.12291505567243065,63
775,2013,Temple,0.5859899299357663,44
776,2013,California,0.5382422256535009,48
778,2013,Minnesota,0.8483977485982992,35
779,2013,Creighton,0.8393441787138698,36
780,2013,Wisconsin,1.548070652218907,11
785,2013,New Mexico,1.517860138863299,12
781,2013,Georgetown,1.2967653351177804,18
783,2013,Notre Dame,1.1360804157000914,21
784,2013,Pittsburgh,1.3880916663448883,16
786,2013,Kansas St.,1.4970456928045839,13
787,2013,North Carolina St.,0.798077702231298,38
788,2013,UNLV,0.978134908069134,30
790,2013,UCLA,1.0682076857039675,23
791,2013,Cincinnati,1.0062260673336285,27
792,2013,Southern,0.13238584814224277,62
793,2013,Iona,0.21544498054353492,56
794,2013,Boise St.,0.38387702443449734,50
795,2013,Belmont,0.3564553987259976,52
796,2013,Pacific,0.1776561015337829,59
797,2013,Montana,0.16653329077053144,61
798,2013,LIU Brooklyn,0.0931244088457337,66
799,2013,James Madison,0.11305959597190511,65
800,2013,Davidson,0.37119181342339674,51
801,2013,Colorado,0.6143336859303155,41
802,2013,Bucknell,0.5589736136947868,47
789,2013,Oklahoma,0.5719213542988474,46
803,2013,Akron,0.581032155677855,45
804,2013,Northwestern St.,0.18310225597927213,58
805,2013,Western Kentucky,0.11953914799083884,64
806,2013,South Dakota St.,0.2259711669271276,55
807,2013,Villanova,0.5954825612396017,43
782,2013,Oklahoma St.,0.9978940929893663,28
808,2013,North Carolina A&T,0.06964344863119555,67
809,2013,Saint Mary's,0.8155691032881341,37
810,2013,Valparaiso,0.3195751361457914,54
811,2013,New Mexico St.,0.35403450547537174,53
812,2013,Missouri,0.9243291031233305,33
813,2013,Middle Tennessee,0.6459985185140921,40
814,2013,Liberty,0.03903811881886315,68
815,2013,Albany,0.1734370287723566,60
680,2014,Connecticut,0.992722587104089,27
681,2014,Kentucky,1.5667840916104776,11
682,2014,Florida,3.4619818019843223,1
683,2014,Wisconsin,1.5445977041011874,12
684,2014,Arizona,2.705352231344818,2
685,2014,Michigan St.,1.9994421094471293,7
686,2014,Michigan,1.5279147327676565,14
687,2014,Dayton,0.4975539266063948,46
688,2014,Virginia,2.557002283535955,4
689,2014,Louisville,2.0253004821571174,6
690,2014,San Diego St.,1.4217594816021808,16
692,2014,Iowa St.,1.4529099015938747,15
693,2014,UCLA,1.887624643414231,8
691,2014,Baylor,0.9930084006588865,26
694,2014,Stanford,0.5987115766410563,42
695,2014,Tennessee,0.8322959262208838,31
696,2014,Villanova,1.6678815043594657,10
697,2014,Syracuse,2.6604306217673948,3
700,2014,Creighton,1.1970976667740754,22
698,2014,Kansas,1.5395227605585857,13
706,2014,Wichita St.,1.8315146027769131,9
699,2014,Oregon,0.8122617834803747,32
701,2014,Gonzaga,0.8445438675182632,30
702,2014,Memphis,0.7502890037858613,34
703,2014,North Carolina,1.37025343923545,17
704,2014,Pittsburgh,1.295702213440478,19
705,2014,Texas,1.1348436970239413,23
707,2014,North Dakota St.,0.2982054648833754,54
708,2014,Harvard,0.4901949225298713,48
709,2014,Stephen F. Austin,0.502396590837896,45
710,2014,Saint Louis,0.5999668033375577,41
711,2014,Mercer,0.255104728266079,56
712,2014,Duke,2.0657862337884887,5
713,2014,Oklahoma,1.060049189331509,24
714,2014,Cincinnati,1.3518118512749524,18
715,2014,Ohio St.,1.2088762579839873,21
716,2014,New Mexico,0.900630013567894,29
717,2014,VCU,1.2763172332073716,20
718,2014,North Carolina St.,0.6483812230155345,38
719,2014,Iowa,1.0331069451390642,25
720,2014,Weber St.,0.08310994264426545,67
721,2014,Nebraska,0.5065026576476623,44
