,Year,Team,Seed,Region,Proj_Wins,Wins,Sim_Wins
0,2025,Florida,1,West,2.792968193706125,6,5
34,2025,Houston,1,Midwest,3.750172754826519,5,4
51,2025,Duke,1,East,3.8052856542460014,4,6
16,2025,Auburn,1,South,2.38893590701248,4,4
52,2025,Alabama,2,East,1.7655910462879836,3,3
17,2025,Michigan St.,2,South,1.362321683158527,3,3
35,2025,Tennessee,2,Midwest,1.8535657389084903,3,3
1,2025,Texas Tech,3,West,1.3405497688887802,3,2
3,2025,Maryland,4,West,1.499571494387634,2,2
53,2025,Arizona,4,East,1.3454346662698475,2,2
54,2025,BYU,6,East,1.0858748217084182,2,2
18,2025,Mississippi,6,South,0.9421086099490884,2,1
19,2025,Michigan,5,South,1.2451150449549877,2,1
36,2025,Kentucky,3,Midwest,1.1184153457744048,2,1
37,2025,Purdue,4,Midwest,1.1788667444467489,2,1
2,2025,Arkansas,10,West,0.7755657073368916,2,0
7,2025,St. John's,2,West,1.8112814713735947,1,3
21,2025,Texas A&M,4,South,1.2526079707336304,1,2
23,2025,Iowa St.,3,South,1.3236584662466315,1,2
41,2025,Illinois,6,Midwest,1.184244466710353,1,2
5,2025,Connecticut,8,West,0.8962000244837922,1,1
56,2025,Saint Mary's,7,East,1.124159672984424,1,1
57,2025,Oregon,5,East,0.9500901847259088,1,1
58,2025,Wisconsin,3,East,1.048462155526881,1,1
38,2025,UCLA,7,Midwest,1.147099921605604,1,1
39,2025,Gonzaga,8,Midwest,1.3302086635957988,1,1
4,2025,Drake,11,West,0.4594972172426469,1,0
6,2025,Colorado St.,12,West,0.521814646716726,1,0
55,2025,Baylor,9,East,0.928588465141522,1,0
20,2025,Creighton,9,South,0.7743123833889842,1,0
22,2025,New Mexico,10,South,0.7360566283443221,1,0
40,2025,McNeese St.,12,Midwest,0.5428292852037693,1,0
43,2025,Clemson,5,Midwest,1.2234430232910145,0,2
9,2025,Kansas,7,West,1.1292415851762625,0,1
14,2025,Missouri,6,West,1.2816573364431587,0,1
15,2025,Memphis,5,West,0.6891972015823141,0,1
67,2025,Mississippi St.,8,East,0.945283579590794,0,1
30,2025,Marquette,7,South,1.1847205717547815,0,1
31,2025,Louisville,8,South,0.982278118117411,0,1
8,2025,Grand Canyon,13,West,0.3163501760533555,0,0
10,2025,UNC Wilmington,14,West,0.2545763763243535,0,0
11,2025,Oklahoma,9,West,0.6423335509319126,0,0
12,2025,Norfolk St.,16,West,0.1540109483562191,0,0
13,2025,Nebraska Omaha,15,West,0.1678853314644939,0,0
59,2025,American,16,East,0.0945665828390655,0,0
60,2025,Akron,13,East,0.3080092023363925,0,0
61,2025,Liberty,12,East,0.4018859008940809,0,0
62,2025,VCU,11,East,0.8121952132930836,0,0
63,2025,Vanderbilt,10,East,0.6449631335385942,0,0
64,2025,Robert Morris,15,East,0.1793772537624114,0,0
65,2025,Mount St. Mary's,16,East,0.0908383313488999,0,0
66,2025,Montana,14,East,0.1716039326549169,0,0
24,2025,Bryant,15,South,0.2166857797863242,0,0
25,2025,Alabama St.,16,South,0.0964857310900325,0,0
26,2025,UC San Diego,12,South,0.6922294240624496,0,0
27,2025,San Diego St.,11,South,0.6219270970912856,0,0
28,2025,Saint Francis,16,South,0.0614494160372115,0,0
29,2025,North Carolina,11,South,0.8950599915064229,0,0
32,2025,Lipscomb,14,South,0.2980857509282159,0,0
33,2025,Yale,13,South,0.4060905376971355,0,0
42,2025,Georgia,9,Midwest,0.922019284029664,0,0
44,2025,High Point,13,Midwest,0.3911578808241171,0,0
45,2025,Xavier,11,Midwest,0.5501123146638419,0,0
46,2025,Wofford,15,Midwest,0.1744991274573096,0,0
47,2025,Utah St.,10,Midwest,0.6334784376451507,0,0
48,2025,Troy,14,Midwest,0.2544914314209194,0,0
49,2025,Texas,11,Midwest,0.7027261145394533,0,0
50,2025,SIU Edwardsville,16,Midwest,0.1276295255794328,0,0
120,2024,Connecticut,1,East,3.5054526972146056,6,5
102,2024,Purdue,1,Midwest,2.3867335204366453,5,4
68,2024,Alabama,4,West,1.1419769746231485,4,1
85,2024,North Carolina St.,11,South,0.7682723200279165,4,0
103,2024,Tennessee,2,Midwest,1.6643534354206673,3,3
121,2024,Illinois,3,East,1.7429147950078043,3,2
86,2024,Duke,4,South,1.747731802911177,3,2
69,2024,Clemson,6,West,0.8320376435257367,3,0
88,2024,Houston,1,South,3.6462795142907303,2,6
71,2024,Arizona,2,West,2.036968927575718,2,4
70,2024,North Carolina,1,West,1.830015073454084,2,3
122,2024,Iowa St.,2,East,2.302114088620162,2,3
87,2024,Marquette,2,South,1.807055579843271,2,3
104,2024,Gonzaga,5,Midwest,1.5217567317023588,2,2
105,2024,Creighton,3,Midwest,1.4039000794430891,2,2
123,2024,San Diego St.,5,East,0.960291493980053,2,1
74,2024,Baylor,3,West,1.3976734554698524,1,2
73,2024,Dayton,7,West,0.8197060337615288,1,1
75,2024,Michigan St.,9,West,1.0758969940543095,1,1
125,2024,Washington St.,7,East,0.80738355461078,1,1
127,2024,Northwestern,9,East,0.7405921620849638,1,1
89,2024,Texas A&M,9,South,0.9408137781729852,1,1
107,2024,Kansas,4,Midwest,1.0838604694399032,1,1
108,2024,Texas,7,Midwest,0.930340919703518,1,1
72,2024,Grand Canyon,12,West,0.5663748241172499,1,0
124,2024,Yale,13,East,0.4136646047839752,1,0
126,2024,Duquesne,11,East,0.371402359678268,1,0
90,2024,Colorado,10,South,0.8061641925157629,1,0
91,2024,James Madison,12,South,0.6038661293235128,1,0
92,2024,Oakland,14,South,0.2545212608575958,1,0
106,2024,Utah St.,8,Midwest,0.6317500261558903,1,0
109,2024,Oregon,11,Midwest,0.8037293745356409,1,0
77,2024,Saint Mary's,5,West,1.1474483047784765,0,2
135,2024,Auburn,4,East,1.813618830655233,0,2
99,2024,Kentucky,3,South,1.239002560719754,0,2
78,2024,New Mexico,11,West,1.1093929215370977,0,1
134,2024,BYU,6,East,1.0940314255909973,0,1
93,2024,Texas Tech,6,South,0.958328859488912,0,1
94,2024,Wisconsin,5,South,1.1469916036305268,0,1
100,2024,Florida,7,South,0.8990088424409813,0,1
111,2024,TCU,9,Midwest,0.9236172167147012,0,1
112,2024,South Carolina,6,Midwest,0.8137918670141214,0,1
76,2024,Wagner,16,West,0.08183204828561,0,0
79,2024,Nevada,10,West,0.6707282150898265,0,0
80,2024,Mississippi St.,8,West,0.8868746301441209,0,0
81,2024,Long Beach St.,15,West,0.1630043734391178,0,0
82,2024,Howard,16,West,0.0839436125500648,0,0
83,2024,College of Charleston,13,West,0.4190871463770689,0,0
84,2024,Colgate,14,West,0.2391456694551041,0,0
128,2024,UAB,12,East,0.3140884123166,0,0
129,2024,Stetson,16,East,0.1485770329598595,0,0
130,2024,South Dakota St.,15,East,0.2243558843780225,0,0
131,2024,Morehead St.,14,East,0.311750404012745,0,0
132,2024,Florida Atlantic,8,East,0.718607420107967,0,0
133,2024,Drake,10,East,0.5880398921951786,0,0
95,2024,Western Kentucky,15,South,0.2500348139296366,0,0
96,2024,Vermont,13,South,0.3248971056808932,0,0
97,2024,Longwood,16,South,0.1930090221789194,0,0
98,2024,Nebraska,8,South,0.8466730420348606,0,0
101,2024,Boise St.,10,South,0.6953805989784457,0,0
110,2024,Virginia,10,Midwest,0.8122256591733275,0,0
113,2024,Samford,13,Midwest,0.4538735052578909,0,0
114,2024,Saint Peter's,15,Midwest,0.1283319511735482,0,0
115,2024,Montana St.,16,Midwest,0.1010442613340752,0,0
116,2024,McNeese St.,12,Midwest,0.6792477599723166,0,0
117,2024,Grambling St.,16,Midwest,0.103523518675557,0,0
118,2024,Colorado St.,10,Midwest,0.6027224634559462,0,0
119,2024,Akron,14,Midwest,0.268174306929583,0,0
136,2023,Connecticut,4,West,1.6064130374207677,6,2
153,2023,San Diego St.,5,South,1.0412875899056395,5,2
170,2023,Miami FL,5,Midwest,0.9180609409621386,4,1
187,2023,Florida Atlantic,9,East,0.922979903829786,4,0
171,2023,Texas,2,Midwest,2.0759228484062264,3,3
137,2023,Gonzaga,3,West,2.2183871495247085,3,2
188,2023,Kansas St.,3,East,0.8316294472671891,3,1
154,2023,Creighton,6,South,1.0524920517625032,3,1
138,2023,UCLA,2,West,2.787116196718846,2,6
156,2023,Alabama,1,South,2.445736746486327,2,4
173,2023,Houston,1,Midwest,2.774454299884177,2,4
172,2023,Xavier,3,Midwest,1.1816241796463347,2,2
189,2023,Tennessee,4,East,1.5446359332684036,2,1
190,2023,Michigan St.,7,East,0.8796815238041491,2,1
139,2023,Arkansas,8,West,0.8884882623590501,2,0
