,Season,Team Name,Seed,Region,Year,Team
0,2025,Auburn,1,South,2025,Auburn
1,2025,Alabama State,16,South,2025,Alabama State
2,2025,St. Francis (PA),16,South,2025,St. Francis (PA)
3,2025,Louisville,8,South,2025,Louisville
4,2025,Creighton,9,South,2025,Creighton
5,2025,Michigan,5,South,2025,Michigan
6,2025,UC San Diego,12,South,2025,UC San Diego
7,2025,Texas A&M,4,South,2025,Texas A&M
8,2025,Yale,13,South,2025,Yale
9,2025,Ole Miss,6,South,2025,Ole Miss
10,2025,San Diego State,11,South,2025,San Diego State
11,2025,North Carolina,11,South,2025,North Carolina
12,2025,Iowa State,3,South,2025,Iowa State
13,2025,Lipscomb,14,South,2025,Lipscomb
14,2025,Marquette,7,South,2025,Marquette
15,2025,New Mexico,10,South,2025,New Mexico
16,2025,Michigan State,2,South,2025,Michigan State
17,2025,Bryant,15,South,2025,Bryant
18,2025,Florida,1,West,2025,Florida
19,2025,Norfolk State,16,West,2025,Norfolk State
20,2025,UConn,8,West,2025,UConn
21,2025,Oklahoma,9,West,2025,Oklahoma
22,2025,Memphis,5,West,2025,Memphis
23,2025,Colorado State,12,West,2025,Colorado State
24,2025,Maryland,4,West,2025,Maryland
25,2025,Grand Canyon,13,West,2025,Grand Canyon
26,2025,Missouri,6,West,2025,Missouri
27,2025,Drake,11,West,2025,Drake
28,2025,Texas Tech,3,West,2025,Texas Tech
29,2025,UNC Wilmington,14,West,2025,UNC Wilmington
30,2025,Kansas,7,West,2025,Kansas
31,2025,Arkansas,10,West,2025,Arkansas
32,2025,St. John's,2,West,2025,St. John's
33,2025,Omaha,15,West,2025,Omaha
34,2025,Duke,1,East,2025,Duke
35,2025,American University,16,East,2025,American University
36,2025,Mount St. Mary's,16,East,2025,Mount St. Mary's
37,2025,Mississippi State,8,East,2025,Mississippi State
38,2025,Baylor,9,East,2025,Baylor
39,2025,Oregon,5,East,2025,Oregon
40,2025,Liberty,12,East,2025,Liberty
41,2025,Arizona,4,East,2025,Arizona
42,2025,Akron,13,East,2025,Akron
43,2025,BYU,6,East,2025,BYU
44,2025,VCU,11,East,2025,VCU
45,2025,Wisconsin,3,East,2025,Wisconsin
46,2025,Montana,14,East,2025,Montana
47,2025,Saint Mary's,7,East,2025,Saint Mary's
48,2025,Vanderbilt,10,East,2025,Vanderbilt
49,2025,Alabama,2,East,2025,Alabama
50,2025,Robert Morris,15,East,2025,Robert Morris
51,2025,Houston,1,Midwest,2025,Houston
52,2025,SIU Edwardsville,16,Midwest,2025,SIU Edwardsville
53,2025,Gonzaga,8,Midwest,2025,Gonzaga
54,2025,Georgia,9,Midwest,2025,Georgia
55,2025,Clemson,5,Midwest,2025,Clemson
56,2025,McNeese,12,Midwest,2025,McNeese
57,2025,Purdue,4,Midwest,2025,Purdue
58,2025,High Point,13,Midwest,2025,High Point
59,2025,Illinois,6,Midwest,2025,Illinois
60,2025,Texas,11,Midwest,2025,Texas
61,2025,Xavier,11,Midwest,2025,Xavier
62,2025,Kentucky,3,Midwest,2025,Kentucky
63,2025,Troy,14,Midwest,2025,Troy
64,2025,UCLA,7,Midwest,2025,UCLA
65,2025,Utah State,10,Midwest,2025,Utah State
66,2025,Tennessee,2,Midwest,2025,Tennessee
67,2025,Wofford,15,Midwest,2025,Wofford
124,2024,Purdue,1,Midwest,2024,Purdue
125,2024,Montana State,16,Midwest,2024,Montana State
126,2024,Grambling,16,Midwest,2024,Grambling
127,2024,Utah State,8,Midwest,2024,Utah State
128,2024,TCU,9,Midwest,2024,TCU
129,2024,Gonzaga,5,Midwest,2024,Gonzaga
130,2024,McNeese,12,Midwest,2024,McNeese
131,2024,Kansas,4,Midwest,2024,Kansas
132,2024,Samford,13,Midwest,2024,Samford
133,2024,South Carolina,6,Midwest,2024,South Carolina
134,2024,Oregon,11,Midwest,2024,Oregon
135,2024,Creighton,3,Midwest,2024,Creighton
136,2024,Akron,14,Midwest,2024,Akron
137,2024,Texas,7,Midwest,2024,Texas
138,2024,Virginia,10,Midwest,2024,Virginia
139,2024,Colorado State,10,Midwest,2024,Colorado State
140,2024,Tennessee,2,Midwest,2024,Tennessee
141,2024,Saint Peter's,15,Midwest,2024,Saint Peter's
142,2024,North Carolina,1,West,2024,North Carolina
143,2024,Howard,16,West,2024,Howard
144,2024,Wagner,16,West,2024,Wagner
145,2024,Mississippi State,8,West,2024,Mississippi State
146,2024,Michigan State,9,West,2024,Michigan State
147,2024,Saint Mary's,5,West,2024,Saint Mary's
148,2024,Grand Canyon,12,West,2024,Grand Canyon
149,2024,Alabama,4,West,2024,Alabama
150,2024,Charleston,13,West,2024,Charleston
151,2024,Clemson,6,West,2024,Clemson
152,2024,New Mexico,11,West,2024,New Mexico
153,2024,Baylor,3,West,2024,Baylor
154,2024,Colgate,14,West,2024,Colgate
155,2024,Dayton,7,West,2024,Dayton
156,2024,Nevada,10,West,2024,Nevada
157,2024,Arizona,2,West,2024,Arizona
158,2024,Long Beach State,15,West,2024,Long Beach State
159,2024,UConn,1,East,2024,UConn
160,2024,Stetson,16,East,2024,Stetson
161,2024,Florida Atlantic,8,East,2024,Florida Atlantic
162,2024,Northwestern,9,East,2024,Northwestern
163,2024,San Diego State,5,East,2024,San Diego State
164,2024,UAB,12,East,2024,UAB
165,2024,Auburn,4,East,2024,Auburn
166,2024,Yale,13,East,2024,Yale
167,2024,BYU,6,East,2024,BYU
168,2024,Duquesne,11,East,2024,Duquesne
169,2024,Illinois,3,East,2024,Illinois
170,2024,Morehead State,14,East,2024,Morehead State
171,2024,Washington State,7,East,2024,Washington State
172,2024,Drake,10,East,2024,Drake
173,2024,Iowa State,2,East,2024,Iowa State
174,2024,South Dakota State,15,East,2024,South Dakota State
175,2024,Houston,1,South,2024,Houston
176,2024,Longwood,16,South,2024,Longwood
177,2024,Nebraska,8,South,2024,Nebraska
178,2024,Texas A&M,9,South,2024,Texas A&M
179,2024,Wisconsin,5,South,2024,Wisconsin
180,2024,James Madison,12,South,2024,James Madison
181,2024,Duke,4,South,2024,Duke
182,2024,Vermont,13,South,2024,Vermont
183,2024,Texas Tech,6,South,2024,Texas Tech
184,2024,NC State,11,South,2024,NC State
185,2024,Kentucky,3,South,2024,Kentucky
186,2024,Oakland,14,South,2024,Oakland
187,2024,Florida,7,South,2024,Florida
188,2024,Boise State,10,South,2024,Boise State
189,2024,Colorado,10,South,2024,Colorado
190,2024,Marquette,2,South,2024,Marquette
191,2024,Western Kentucky,15,South,2024,Western Kentucky
248,2023,Alabama,1,South,2023,Alabama
249,2023,Texas A&M-Corpus Christi,16,South,2023,Texas A&M-Corpus Christi
250,2023,Southeast Missouri State,16,South,2023,Southeast Missouri State
251,2023,Maryland,8,South,2023,Maryland
252,2023,West Virginia,9,South,2023,West Virginia
253,2023,San Diego State,5,South,2023,San Diego State
254,2023,Charleston,12,South,2023,Charleston
255,2023,Virginia,4,South,2023,Virginia
256,2023,Furman,13,South,2023,Furman
257,2023,Creighton,6,South,2023,Creighton
258,2023,NC State,11,South,2023,NC State
259,2023,Baylor,3,South,2023,Baylor
260,2023,UC Santa Barbara,14,South,2023,UC Santa Barbara
261,2023,Missouri,7,South,2023,Missouri
262,2023,Utah State,10,South,2023,Utah State
263,2023,Arizona,2,South,2023,Arizona
264,2023,Princeton,15,South,2023,Princeton
265,2023,Purdue,1,East,2023,Purdue
266,2023,Texas Southern,16,East,2023,Texas Southern
267,2023,Fairleigh Dickinson,16,East,2023,Fairleigh Dickinson
268,2023,Memphis,8,East,2023,Memphis
269,2023,Florida Atlantic,9,East,2023,Florida Atlantic
270,2023,Duke,5,East,2023,Duke
271,2023,Oral Roberts,12,East,2023,Oral Roberts
272,2023,Tennessee,4,East,2023,Tennessee
273,2023,Louisiana,13,East,2023,Louisiana
274,2023,Kentucky,6,East,2023,Kentucky
275,2023,Providence,11,East,2023,Providence
276,2023,Kansas State,3,East,2023,Kansas State
277,2023,Montana State,14,East,2023,Montana State
278,2023,Michigan State,7,East,2023,Michigan State
279,2023,USC,10,East,2023,USC
280,2023,Marquette,2,East,2023,Marquette
281,2023,Vermont,15,East,2023,Vermont
282,2023,Houston,1,Midwest,2023,Houston
283,2023,Northern Kentucky,16,Midwest,2023,Northern Kentucky
284,2023,Iowa,8,Midwest,2023,Iowa
285,2023,Auburn,9,Midwest,2023,Auburn
286,2023,Miami,5,Midwest,2023,Miami
287,2023,Drake,12,Midwest,2023,Drake
288,2023,Indiana,4,Midwest,2023,Indiana
289,2023,Kent State,13,Midwest,2023,Kent State
290,2023,Iowa State,6,Midwest,2023,Iowa State
291,2023,Pittsburgh,11,Midwest,2023,Pittsburgh
292,2023,Xavier,3,Midwest,2023,Xavier
293,2023,Kennesaw State,14,Midwest,2023,Kennesaw State
294,2023,Texas A&M,7,Midwest,2023,Texas A&M
295,2023,Penn State,10,Midwest,2023,Penn State
296,2023,Texas,2,Midwest,2023,Texas
297,2023,Colgate,15,Midwest,2023,Colgate
298,2023,Kansas,1,West,2023,Kansas
299,2023,Howard,16,West,2023,Howard
300,2023,Arkansas,8,West,2023,Arkansas
301,2023,Illinois,9,West,2023,Illinois
302,2023,Saint Mary's,5,West,2023,Saint Mary's
303,2023,VCU,12,West,2023,VCU
304,2023,UConn,4,West,2023,UConn
305,2023,Iona,13,West,2023,Iona
306,2023,TCU,6,West,2023,TCU
307,2023,Arizona State,11,West,2023,Arizona State
308,2023,Nevada,11,West,2023,Nevada
309,2023,Gonzaga,3,West,2023,Gonzaga
310,2023,Grand Canyon,14,West,2023,Grand Canyon
311,2023,Northwestern,7,West,2023,Northwestern
312,2023,Boise State,10,West,2023,Boise State
313,2023,UCLA,2,West,2023,UCLA
314,2023,UNC Asheville,15,West,2023,UNC Asheville
315,2022,Gonzaga,1,West,2022,Gonzaga
316,2022,Georgia State,16,West,2022,Georgia State
317,2022,Boise State,8,West,2022,Boise State
318,2022,Memphis,9,West,2022,Memphis
319,2022,UConn,5,West,2022,UConn
320,2022,New Mexico State,12,West,2022,New Mexico State
321,2022,Arkansas,4,West,2022,Arkansas
322,2022,Vermont,13,West,2022,Vermont
323,2022,Alabama,6,West,2022,Alabama
324,2022,Notre Dame,11,West,2022,Notre Dame
325,2022,Rutgers,11,West,2022,Rutgers
326,2022,Texas Tech,3,West,2022,Texas Tech
327,2022,Montana State,14,West,2022,Montana State
328,2022,Michigan State,7,West,2022,Michigan State
329,2022,Davidson,10,West,2022,Davidson
330,2022,Duke,2,West,2022,Duke
331,2022,Cal State Fullerton,15,West,2022,Cal State Fullerton
332,2022,Baylor,1,East,2022,Baylor
333,2022,Norfolk State,16,East,2022,Norfolk State
334,2022,North Carolina,8,East,2022,North Carolina
335,2022,Marquette,9,East,2022,Marquette
336,2022,Saint Mary's,5,East,2022,Saint Mary's
337,2022,Indiana,12,East,2022,Indiana
338,2022,Wyoming,12,East,2022,Wyoming
339,2022,UCLA,4,East,2022,UCLA
340,2022,Akron,13,East,2022,Akron
341,2022,Texas,6,East,2022,Texas
342,2022,Virginia Tech,11,East,2022,Virginia Tech
343,2022,Purdue,3,East,2022,Purdue
344,2022,Yale,14,East,2022,Yale
345,2022,Murray State,7,East,2022,Murray State
346,2022,San Francisco,10,East,2022,San Francisco
347,2022,Kentucky,2,East,2022,Kentucky
348,2022,Saint Peter's,15,East,2022,Saint Peter's
349,2022,Arizona,1,South,2022,Arizona
350,2022,Wright State,16,South,2022,Wright State
351,2022,Bryant,16,South,2022,Bryant
352,2022,Seton Hall,8,South,2022,Seton Hall
353,2022,TCU,9,South,2022,TCU
354,2022,Houston,5,South,2022,Houston
355,2022,UAB,12,South,2022,UAB
356,2022,Illinois,4,South,2022,Illinois
357,2022,Chattanooga,13,South,2022,Chattanooga
358,2022,Colorado State,6,South,2022,Colorado State
359,2022,Michigan,11,South,2022,Michigan
360,2022,Tennessee,3,South,2022,Tennessee
361,2022,Longwood,14,South,2022,Longwood
362,2022,Ohio State,7,South,2022,Ohio State
363,2022,Loyola Chicago,10,South,2022,Loyola Chicago
364,2022,Villanova,2,South,2022,Villanova
365,2022,Delaware,15,South,2022,Delaware
366,2022,Kansas,1,Midwest,2022,Kansas
367,2022,Texas Southern,16,Midwest,2022,Texas Southern
368,2022,Texas A&M-Corpus Christi,16,Midwest,2022,Texas A&M-Corpus Christi
369,2022,San Diego State,8,Midwest,2022,San Diego State
370,2022,Creighton,9,Midwest,2022,Creighton
371,2022,Iowa,5,Midwest,2022,Iowa
372,2022,Richmond,12,Midwest,2022,Richmond
373,2022,Providence,4,Midwest,2022,Providence
374,2022,South Dakota State,13,Midwest,2022,South Dakota State
375,2022,LSU,6,Midwest,2022,LSU
376,2022,Iowa State,11,Midwest,2022,Iowa State
377,2022,Wisconsin,3,Midwest,2022,Wisconsin
378,2022,Colgate,15,Midwest,2022,Colgate
379,2022,USC,7,Midwest,2022,USC
380,2022,Miami,10,Midwest,2022,Miami
381,2022,Auburn,2,Midwest,2022,Auburn
382,2022,Jacksonville State,15,Midwest,2022,Jacksonville State
383,2021,Gonzaga,1,West,2021,Gonzaga
384,2021,Norfolk State,16,West,2021,Norfolk State
385,2021,App State,16,West,2021,App State
386,2021,Oklahoma,8,West,2021,Oklahoma
387,2021,Missouri,9,West,2021,Missouri
388,2021,Creighton,5,West,2021,Creighton
389,2021,UC Santa Barbara,12,West,2021,UC Santa Barbara
390,2021,Virginia,4,West,2021,Virginia
391,2021,Ohio,13,West,2021,Ohio
392,2021,USC,6,West,2021,USC
